id_doc,Text's title,Author,original_name,Normalized name,ID wikidata,identifiers,coordinate location,Longitude,Latitude,Type of place,printer,publication place,date
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"América del Sur","América del Sur",South America,Q18,"-21,-59",-21,-59,"América del Sur",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Jujuy","Jujuy",San Salvador de Jujuy,Q44217,"-24.185555555556,-65.299444444444",-24.185555555556,-65.299444444444,"Jujuy",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Magallanes","Magallanes",Strait of Magellan,Q48365,"-54,-71",-54,-71,"Magallanes",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Linda","Linda","Linda",,,,,"Linda",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Linda","Linda","Linda",,,,,"Linda",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Bahía Blanca","Bahía Blanca",Bahía Blanca,Q54108,"-38.716666666667,-62.266666666667",-38.716666666667,-62.266666666667,"Bahía Blanca",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Buenos Aires","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Corrientes","Corrientes",Corrientes,Q44211,"-27.483333333333,-58.816666666667",-27.483333333333,-58.816666666667,"Corrientes",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"San Luis","San Luis",San Luis,Q44243,"-33.29944444444445,-66.33916666666667",-33.29944444444445,-66.33916666666667,"San Luis",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Córdoba","Córdoba",Córdoba,Q44210,"-31.416666666667,-64.183333333333",-31.416666666667,-64.183333333333,"Córdoba",Igon Hermanos,Buenos Aires,1879
